RCP_SNO,SRAP_CNT,ING_INFO
2548029,1288,토마토
2568508,4640,감자 고추 당근 대파 마늘 양파
2570384,684,마늘 양파 상추 토마토
2571398,719,당근 마늘
2576904,654,당근 마늘 무무
2578346,970,당근 배추
2579151,1722,배추 오이
2587475,660,
2593139,3486,마늘 고춧가루 무무
2593966,3451,양파 오이
2603077,1304,당근 대파 마늘 양파 상추 오이 고춧가루
2603985,686,마늘 버섯
2605563,963,계란 고추 당근 오이 무무
2613093,727,감자 양파
2614273,1258,당근 양파
2614878,2264,마늘 양파
2621418,603,마늘 오이 고춧가루
2622096,869,대파 버섯
2623439,669,계란 고추 당근 오이 무무
2625139,1964,감자 계란 양파
2628435,6163,
2632605,1553,계란 고추 마늘 배추 양파 고춧가루
2632999,1516,양파
2636888,746,고추 마늘 양파
2641278,666,마늘
2641612,1326,고추 마늘 배추 양파
2641617,609,고추 마늘 양파
2645038,737,고추 대파 마늘 양파
2646080,711,고추 마늘 고춧가루
2652936,1015,당근 양파
2653842,739,당근 마늘 양파
2655836,605,고추 당근 대파 양파
2659680,5904,상추 토마토
2660792,745,고추 마늘 양파 고춧가루 버섯
2667494,724,고추 마늘
2673466,8110,
2677134,820,
2677248,618,고추 당근 마늘 배추
2679814,1443,감자 고추 당근 마늘 양파 고춧가루
2681680,2346,고추 대파
2681739,705,고추
2685456,769,
2686754,2078,
2689799,696,고추 당근 배추 상추 오이 고춧가루
2691221,1614,
2693432,840,고추 마늘
2693646,629,양파 토마토 무무
2694106,725,감자 마늘
2697716,855,
2711856,1275,
2714502,1243,고추 무무
2716998,5003,고추 당근 배추 양파 오이
2729175,613,오이
2731791,642,
2737325,689,
2737364,704,
2742448,745,고추 대파 배추
2769711,688,
2780323,1389,고추 마늘 양파 고춧가루 버섯
2803587,3866,오이
2822161,910,대파 마늘 양파 오이
2827565,1124,계란 고추 대파
2833988,1831,당근 마늘 양파 버섯
2852553,640,
2856909,774,고추
2859815,2502,감자 고추 마늘 양파 고춧가루
2870416,2172,양파 오이
2891973,1399,고추 마늘 양파
2895554,1706,마늘 양파
2896593,2260,고추 대파 마늘 고춧가루 갈치 무무
2896606,971,고추 대파 마늘
2898230,953,고추 대파 마늘 양파
2898726,607,고추 대파 마늘 양파 고춧가루 무무
2900550,935,고추 마늘 양파 고춧가루
2902994,1637,고추 마늘 양파 고춧가루
2916560,1171,계란 양파
2923914,670,감자 당근 양파 오이
2926988,630,감자 고추 대파 마늘 양파
2927917,632,마늘 배추 양파 고춧가루 무무
2929613,867,마늘
2935016,771,고구마
2945777,753,계란 고추 대파 마늘 고춧가루
2947041,1877,고추 양파
2964024,602,마늘 무무
2965772,755,감자 계란 당근 대파 배추
2978797,1186,고구마
2980506,610,고추 당근 마늘 양파 버섯
2988253,1541,고추 대파 마늘 양파
2994441,1050,고추 대파 마늘
2998440,1281,양파
3003374,846,고추 대파 마늘 고춧가루 고등어 무무
3008505,2988,감자 고추 당근 대파 마늘 양파
3009374,1306,계란 고추 당근
3010722,707,고구마
3014625,1165,버섯
3031684,1737,대파 마늘 양파 버섯
3032665,3346,고추 마늘
3037669,656,마늘 무무
3050144,616,감자 고추 대파 마늘 고춧가루 갈치 무무
3057898,693,고추 마늘 고춧가루
3068227,1271,고추 대파 마늘 무무
3071771,2971,계란 대파 양파 버섯
3083826,749,
3085196,1921,감자 고추 양파
3119680,1131,고추 대파 양파
3125203,921,마늘 고춧가루
3129643,1864,고추 마늘
3129651,1217,고추 마늘
3134384,1027,
3134590,3413,감자 고구마
3135774,1002,고추 대파 마늘 고춧가루
3137924,867,계란
3149376,1014,대파 마늘 양파
3149401,705,고추 대파 배추 고춧가루
3155570,1027,고추 마늘 무무
3163149,641,고추 마늘
3167870,658,고추 마늘 고춧가루
3171515,1841,계란 마늘 고춧가루
3187680,854,고추 마늘 무무
3187681,898,고추 마늘 오이
